Thoi gian,FDI giai ngan,Xuat khau (luy ke nam),Nong nghiep,Thuong mai,Cong nghiep,Xay dung,Cung tien M2,Lam phat co ban,Lam phat,Nha o va,Y te,Van tai,Chi so PMI,Tang truong GDP thuc te
T1 2017,6.3,6,17.67,29.21,18.27,21.84,2.57,1.9,5.2,3.5,79.4,5,51.9,5.2
T2 2017,3.3,16.5,0.57,-2.53,-0.24,2.96,1.78,1.5,5,4.8,79.8,10,54.2,5.2
T3 2017,3.4,15.7,2.91,-1.03,1.67,6.2,3.49,1.6,4.7,5.3,48.7,14.6,54.6,5.2
T4 2017,3.2,17.4,4.23,-0.55,3.04,7.07,3.89,1.5,4.3,4.3,63.6,11.1,54.1,6.4
T5 2017,6,19,5.43,0.36,4.65,8.92,4.78,1.3,3.2,3.4,63.6,8.1,51.6,6.4
T6 2017,6.5,18.7,11.01,1.81,7.32,7.72,6.89,1.3,2.5,3.4,63.5,4.2,52.5,6.4
T7 2017,5.8,19.4,11.26,3,8.22,7.64,7.62,1.3,2.5,3.2,64.3,1.4,51.7,7.4
T8 2017,5.1,19.9,11.23,7.63,8.19,7.52,8.93,1.3,3.4,4.2,57.6,5.7,51.8,7.4
T9 2017,13.4,20.6,12.09,11.4,9.35,9.33,10.55,1.3,3.4,4.9,58.1,6.7,53.3,7.4
T10 2017,11.8,21.8,12.98,12.85,10.25,13.64,10.89,1.3,3,5.2,43.4,5.2,51.6,7.7
T11 2017,11.9,22.1,14.65,15.87,12.3,13.51,13.15,1.3,2.6,4.6,42.1,4.2,51.4,7.7
T12 2017,10.8,21.8,16.35,20.29,12.75,14.93,14.97,1.3,2.6,4.7,37.3,6,52.5,7.7
T1 2018,23.5,40.6,16.41,19.61,5.43,12.95,1.27,1.2,2.7,4.6,38.7,3.9,53.4,32.7
T2 2018,9.7,25.5,0.19,-0.34,-5.41,-0.49,2.55,1.5,3.2,3.8,38.3,4.2,53.5,23.1
T3 2018,7.2,24.5,1.64,3.26,-3.6,1.43,4.01,1.4,2.7,3,29.1,3,51.6,15.4
T4 2018,6.3,19.1,2.52,5.01,-2.17,3.97,5.72,1.3,2.8,3.4,16.8,5.6,52.7,6.7
T5 2018,9.8,17.5,2.82,6.39,-0.83,2.59,6.9,1.4,3.9,3.8,16.7,7.8,53.9,6.7
T6 2018,8.4,16.4,3.74,9.31,0.45,4.15,8.39,1.4,4.7,3.9,16.7,9.7,55.7,6.7
T7 2018,8.8,16.5,3.26,10.8,0.55,4.94,7.93,1.4,4.5,4.2,7.4,10.8,54.9,6.8
T8 2018,9.2,16.7,2.07,15.27,-1.55,8.36,8.49,1.5,4,3.7,3.5,8.7,53.7,6.8
T9 2018,6,15.8,3.13,17.14,-1.04,6.93,9.04,1.6,4,3.2,3.2,7.9,51.5,6.8
T10 2018,6.3,15.2,2.4,18.15,-1.1,8.82,9.84,1.7,3.9,2.9,0.4,8.9,53.9,7.3
T11 2018,3.1,14.6,2.58,20.03,-0.69,9.59,10.61,1.7,3.5,2.3,0.2,6.2,56.5,7.3
T12 2018,9.1,13.3,3.31,23.14,-1.48,9.63,12.44,1.7,3,1.1,4.3,0.2,53.8,7.3
T1 2019,47.6,9.4,1.01,1.62,2.51,1.08,3,1.8,2.6,0.9,1.9,-4,51.9,6.8
T2 2019,51.8,4.1,0.74,0.94,1.73,0.76,1.79,1.8,2.6,1.7,1.9,4,51.2,6.8
